Determinant,MinA,Euler,A,B,C,0:00,0:01,0:02,0:03,0:01/23,0:02/13,0:03/12,1:00,1:01,1:02,1:03,1:01/23,1:02/13,1:03/12
-1133,1,-1040,1,0,-1133,6168,6198,6168,6198,550,520,490,6198,6168,6198,6168,550,520,490
-1133,1,-1040,1,-1+1w,-1132,6198,6168,6198,6168,490,520,550,6168,6198,6168,6198,490,520,550
-1134,1,-1728,1,0,-1134,9856,9856,9856,9856,864,864,864,9856,9856,9856,9856,864,864,864
-1135,1,-1808,1,0,-1135,9050,9064,9050,9064,918,904,890,9064,9050,9064,9050,918,904,890
-1135,1,-1808,1,-1+1w,-1134,9064,9050,9064,9050,890,904,918,9050,9064,9050,9064,890,904,918
-1136,1,-1120,1,0,-1136,7164,7164,7164,7164,560,560,560,7164,7164,7164,7164,560,560,560
-1138,1,-2272,1,0,-1138,12378,12378,12378,12378,1136,1136,1136,12378,12378,12378,12378,1136,1136,1136
-1139,1,-1088,1,0,-1139,6342,6336,6342,6336,538,544,550,6336,6342,6336,6342,538,544,550
-1139,1,-1088,1,-1+1w,-1138,6336,6342,6336,6342,550,544,538,6342,6336,6342,6336,550,544,538
-1140,1,-1280,1,0,-1140,7852,7852,7852,7852,640,640,640,7852,7852,7852,7852,640,640,640
-1142,1,-1144,1,0,-1142,7692,7692,7692,7692,572,572,572,7692,7692,7692,7692,572,572,572
-1144,1,-2240,1,0,-1144,11778,11778,11778,11778,1120,1120,1120,11778,11778,11778,11778,1120,1120,1120
-1145,1,-920,1,0,-1145,5760,5724,5760,5724,424,460,496,5724,5760,5724,5760,424,460,496
-1145,1,-920,1,-1+1w,-1144,5724,5760,5724,5760,496,460,424,5760,5724,5760,5724,496,460,424
-1146,1,-1520,1,0,-1146,8976,8976,8976,8976,760,760,760,8976,8976,8976,8976,760,760,760
-1146,3,-380,3,-2+1w,-381,1598,1598,1598,1598,190,190,190,1598,1598,1598,1598,190,190,190
-1148,1,-1280,1,0,-1148,7620,7620,7620,7620,640,640,640,7620,7620,7620,7620,640,640,640
-1149,1,-1528,1,0,-1149,8026,8022,8026,8022,760,764,768,8022,8026,8022,8026,760,764,768
-1149,1,-1528,1,-1+1w,-1148,8022,8026,8022,8026,768,764,760,8026,8022,8026,8022,768,764,760
-1150,1,-1760,1,0,-1150,10884,10884,10884,10884,880,880,880,10884,10884,10884,10884,880,880,880
-1151,1,-1150,1,0,-1151,6507,6510,6507,6510,578,575,572,6510,6507,6510,6507,578,575,572
-1151,1,-1150,1,-1+1w,-1150,6510,6507,6510,6507,572,575,578,6507,6510,6507,6510,572,575,578
-1152,1,-1536,1,0,-1152,8936,8936,8936,8936,768,768,768,8936,8936,8936,8936,768,768,768
-1154,1,-1156,1,0,-1154,7764,7764,7764,7764,578,578,578,7764,7764,7764,7764,578,578,578
-1155,1,-1280,1,0,-1155,6932,6940,6932,6940,648,640,632,6940,6932,6940,6932,648,640,632
-1155,1,-1280,1,-1+1w,-1154,6940,6932,6940,6932,632,640,648,6932,6940,6932,6940,632,640,648
-1155,3,-320,3,-2+1w,-384,1176,1180,1176,1180,164,160,156,1180,1176,1180,1176,164,160,156
-1155,3,-320,3,-1+2w,-384,1180,1176,1180,1176,156,160,164,1176,1180,1176,1180,156,160,164
-1157,1,-1232,1,0,-1157,6706,6722,6706,6722,632,616,600,6722,6706,6722,6706,632,616,600
-1157,1,-1232,1,-1+1w,-1156,6722,6706,6722,6706,600,616,632,6706,6722,6706,6722,600,616,632
-1158,1,-1552,1,0,-1158,9740,9740,9740,9740,776,776,776,9740,9740,9740,9740,776,776,776
-1160,1,-896,1,0,-1160,6552,6552,6552,6552,448,448,448,6552,6552,6552,6552,448,448,448
-1162,1,-2624,1,0,-1162,13536,13536,13536,13536,1312,1312,1312,13536,13536,13536,13536,1312,1312,1312
-1163,1,-1162,1,0,-1163,6605,6598,6605,6598,574,581,588,6598,6605,6598,6605,574,581,588
-1163,1,-1162,1,-1+1w,-1162,6598,6605,6598,6605,588,581,574,6605,6598,6605,6598,588,581,574
-1165,1,-1856,1,0,-1165,9376,9350,9376,9350,902,928,954,9350,9376,9350,9376,902,928,954
-1165,1,-1856,1,-1+1w,-1164,9350,9376,9350,9376,954,928,902,9376,9350,9376,9350,954,928,902
-1166,1,-1040,1,0,-1166,7536,7536,7536,7536,520,520,520,7536,7536,7536,7536,520,520,520
-1167,1,-1552,1,0,-1167,8174,8174,8174,8174,776,776,776,8174,8174,8174,8174,776,776,776
-1167,1,-1552,1,-1+1w,-1166,8174,8174,8174,8174,776,776,776,8174,8174,8174,8174,776,776,776
-1169,1,-1328,1,0,-1169,7082,7078,7082,7078,660,664,668,7078,7082,7078,7082,660,664,668
-1169,1,-1328,1,-1+1w,-1168,7078,7082,7078,7082,668,664,660,7082,7078,7082,7078,668,664,660
-1170,1,-1344,1,0,-1170,8552,8552,8552,8552,672,672,672,8552,8552,8552,8552,672,672,672
-1172,1,-1168,1,0,-1172,7296,7296,7296,7296,584,584,584,7296,7296,7296,7296,584,584,584
-1173,1,-1408,1,0,-1173,7482,7476,7482,7476,698,704,710,7476,7482,7476,7482,698,704,710
-1173,1,-1408,1,-1+1w,-1172,7476,7482,7476,7482,710,704,698,7482,7476,7482,7476,710,704,698
-1173,3,-352,3,-2+1w,-390,1252,1246,1252,1246,170,176,182,1246,1252,1246,1252,170,176,182
-1173,3,-352,3,-1+2w,-390,1246,1252,1246,1252,182,176,170,1252,1246,1252,1246,182,176,170
-1174,1,-2344,1,0,-1174,12852,12852,12852,12852,1172,1172,1172,12852,12852,12852,12852,1172,1172,1172
-1175,1,-920,1,0,-1175,5804,5812,5804,5812,468,460,452,5812,5804,5812,5804,468,460,452
-1175,1,-920,1,-1+1w,-1174,5812,5804,5812,5804,452,460,468,5804,5812,5804,5812,452,460,468
-1176,1,-1792,1,0,-1176,10052,10052,10052,10052,896,896,896,10052,10052,10052,10052,896,896,896
-1177,1,-2120,1,0,-1177,10218,10206,10218,10206,1048,1060,1072,10206,10218,10206,10218,1048,1060,1072
-1177,1,-2120,1,-1+1w,-1176,10206,10218,10206,10218,1072,1060,1048,10218,10206,10218,10206,1072,1060,1048
-1178,1,-1280,1,0,-1178,8112,8112,8112,8112,640,640,640,8112,8112,8112,8112,640,640,640
-1179,1,-1560,1,0,-1179,8024,8040,8024,8040,796,780,764,8040,8024,8040,8024,796,780,764
-1179,1,-1560,1,-1+1w,-1178,8040,8024,8040,8024,764,780,796,8024,8040,8024,8040,764,780,796
-1180,1,-1856,1,0,-1180,10488,10488,10488,10488,928,928,928,10488,10488,10488,10488,928,928,928
-1181,1,-1180,1,0,-1181,6699,6684,6699,6684,575,590,605,6684,6699,6684,6699,575,590,605
-1181,1,-1180,1,-1+1w,-1180,6684,6699,6684,6699,605,590,575,6699,6684,6699,6684,605,590,575
-1182,1,-1568,1,0,-1182,9300,9300,9300,9300,784,784,784,9300,9300,9300,9300,784,784,784
-1182,3,-392,3,-2+1w,-393,1646,1646,1646,1646,196,196,196,1646,1646,1646,1646,196,196,196
-1184,1,-1216,1,0,-1184,7608,7608,7608,7608,608,608,608,7608,7608,7608,7608,608,608,608
-1185,1,-1280,1,0,-1185,7420,7408,7420,7408,628,640,652,7408,7420,7408,7420,628,640,652
-1185,1,-1280,1,-1+1w,-1184,7408,7420,7408,7420,652,640,628,7420,7408,7420,7408,652,640,628
-1186,1,-2368,1,0,-1186,12984,12984,12984,12984,1184,1184,1184,12984,12984,12984,12984,1184,1184,1184
-1187,1,-1186,1,0,-1187,6753,6750,6753,6750,590,593,596,6750,6753,6750,6753,590,593,596
-1187,1,-1186,1,-1+1w,-1186,6750,6753,6750,6753,596,593,590,6753,6750,6753,6750,596,593,590
-1188,1,-1440,1,0,-1188,8572,8572,8572,8572,720,720,720,8572,8572,8572,8572,720,720,720
-1189,1,-2240,1,0,-1189,10566,10536,10566,10536,1090,1120,1150,10536,10566,10536,10566,1090,1120,1150
-1189,1,-2240,1,-1+1w,-1188,10536,10566,10536,10566,1150,1120,1090,10566,10536,10566,10536,1150,1120,1090
-1190,1,-1024,1,0,-1190,7452,7452,7452,7452,512,512,512,7452,7452,7452,7452,512,512,512
-1192,1,-2368,1,0,-1192,12432,12432,12432,12432,1184,1184,1184,12432,12432,12432,12432,1184,1184,1184
-1193,1,-1192,1,0,-1193,6785,6754,6785,6754,565,596,627,6754,6785,6754,6785,565,596,627
-1193,1,-1192,1,-1+1w,-1192,6754,6785,6754,6785,627,596,565,6785,6754,6785,6754,627,596,565
-1194,1,-1600,1,0,-1194,10052,10052,10052,10052,800,800,800,10052,10052,10052,10052,800,800,800
-1195,1,-1904,1,0,-1195,9624,9624,9624,9624,952,952,952,9624,9624,9624,9624,952,952,952
-1195,1,-1904,1,-1+1w,-1194,9624,9624,9624,9624,952,952,952,9624,9624,9624,9624,952,952,952
-1196,1,-1232,1,0,-1196,7560,7560,7560,7560,616,616,616,7560,7560,7560,7560,616,616,616
-1198,1,-2392,1,0,-1198,13122,13122,13122,13122,1196,1196,1196,13122,13122,13122,13122,1196,1196,1196
-1199,1,-1100,1,0,-1199,6618,6600,6618,6600,532,550,568,6600,6618,6600,6618,532,550,568
-1199,1,-1100,1,-1+1w,-1198,6600,6618,6600,6618,568,550,532,6618,6600,6618,6600,568,550,532
-1202,1,-1204,1,0,-1202,8118,8118,8118,8118,602,602,602,8118,8118,8118,8118,602,602,602
-1203,1,-1600,1,0,-1203,8466,8446,8466,8446,780,800,820,8446,8466,8446,8466,780,800,820
-1203,1,-1600,1,-1+1w,-1202,8446,8466,8446,8466,820,800,780,8466,8446,8466,8446,820,800,780
-1205,1,-968,1,0,-1205,6088,6080,6088,6080,476,484,492,6080,6088,6080,6088,476,484,492
-1205,1,-968,1,-1+1w,-1204,6080,6088,6080,6088,492,484,476,6088,6080,6088,6080,492,484,476
-1206,1,-1632,1,0,-1206,9964,9964,9964,9964,816,816,816,9964,9964,9964,9964,816,816,816
-1207,1,-2240,1,0,-1207,10666,10688,10666,10688,1142,1120,1098,10688,10666,10688,10666,1142,1120,1098
-1207,1,-2240,1,-1+1w,-1206,10688,10666,10688,10666,1098,1120,1142,10666,10688,10666,10688,1098,1120,1142
-1208,1,-1216,1,0,-1208,7854,7854,7854,7854,608,608,608,7854,7854,7854,7854,608,608,608
-1210,1,-1760,1,0,-1210,11412,11412,11412,11412,880,880,880,11412,11412,11412,11412,880,880,880
-1211,1,-1376,1,0,-1211,7374,7374,7374,7374,688,688,688,7374,7374,7374,7374,688,688,688
-1211,1,-1376,1,-1+1w,-1210,7374,7374,7374,7374,688,688,688,7374,7374,7374,7374,688,688,688
-1212,1,-1600,1,0,-1212,9392,9392,9392,9392,800,800,800,9392,9392,9392,9392,800,800,800
-1214,1,-1216,1,0,-1214,8232,8232,8232,8232,608,608,608,8232,8232,8232,8232,608,608,608
-1215,1,-1296,1,0,-1215,7374,7376,7374,7376,650,648,646,7376,7374,7376,7374,650,648,646
-1215,1,-1296,1,-1+1w,-1214,7376,7374,7376,7374,646,648,650,7374,7376,7374,7376,646,648,650
-1217,1,-1216,1,0,-1217,6933,6948,6933,6948,623,608,593,6948,6933,6948,6933,623,608,593
-1217,1,-1216,1,-1+1w,-1216,6948,6933,6948,6933,593,608,623,6933,6948,6933,6948,593,608,623
-1218,1,-1792,1,0,-1218,10284,10284,10284,10284,896,896,896,10284,10284,10284,10284,896,896,896
-1218,3,-448,3,-2+1w,-405,1792,1792,1792,1792,224,224,224,1792,1792,1792,1792,224,224,224
-1219,1,-2288,1,0,-1219,10842,10854,10842,10854,1156,1144,1132,10854,10842,10854,10842,1156,1144,1132
-1219,1,-2288,1,-1+1w,-1218,10854,10842,10854,10842,1132,1144,1156,10842,10854,10842,10854,1132,1144,1156
-1220,1,-992,1,0,-1220,6708,6708,6708,6708,496,496,496,6708,6708,6708,6708,496,496,496
-1221,1,-1520,1,0,-1221,8356,8368,8356,8368,772,760,748,8368,8356,8368,8356,772,760,748
-1221,1,-1520,1,-1+1w,-1220,8368,8356,8368,8356,748,760,772,8356,8368,8356,8368,748,760,772
-1222,1,-2576,1,0,-1222,13728,13728,13728,13728,1288,1288,1288,13728,13728,13728,13728,1288,1288,1288
-1223,1,-1222,1,0,-1223,6963,6990,6963,6990,638,611,584,6990,6963,6990,6963,638,611,584
-1223,1,-1222,1,-1+1w,-1222,6990,6963,6990,6963,584,611,638,6963,6990,6963,6990,584,611,638
-1224,1,-1536,1,0,-1224,9334,9334,9334,9334,768,768,768,9334,9334,9334,9334,768,768,768
-1226,1,-1228,1,0,-1226,8304,8304,8304,8304,614,614,614,8304,8304,8304,8304,614,614,614
-1229,1,-1228,1,0,-1229,7023,7026,7023,7026,617,614,611,7026,7023,7026,7023,617,614,611
-1229,1,-1228,1,-1+1w,-1228,7026,7023,7026,7023,611,614,617,7023,7026,7023,7026,611,614,617
-1230,1,-1280,1,0,-1230,9160,9160,9160,9160,640,640,640,9160,9160,9160,9160,640,640,640
-1232,1,-1280,1,0,-1232,8166,8166,8166,8166,640,640,640,8166,8166,8166,8166,640,640,640
-1233,1,-1632,1,0,-1233,8452,8464,8452,8464,828,816,804,8464,8452,8464,8452,828,816,804
-1233,1,-1632,1,-1+1w,-1232,8464,8452,8464,8452,804,816,828,8452,8464,8452,8464,804,816,828
-1234,1,-2464,1,0,-1234,13608,13608,13608,13608,1232,1232,1232,13608,13608,13608,13608,1232,1232,1232
-1235,1,-1120,1,0,-1235,6496,6506,6496,6506,570,560,550,6506,6496,6506,6496,570,560,550
-1235,1,-1120,1,-1+1w,-1234,6506,6496,6506,6496,550,560,570,6496,6506,6496,6506,550,560,570
-1238,1,-1240,1,0,-1238,8424,8424,8424,8424,620,620,620,8424,8424,8424,8424,620,620,620
-1239,1,-1856,1,0,-1239,9284,9288,9284,9288,932,928,924,9288,9284,9288,9284,932,928,924
-1239,1,-1856,1,-1+1w,-1238,9288,9284,9288,9284,924,928,932,9284,9288,9284,9288,924,928,932
-1240,1,-2048,1,0,-1240,11664,11664,11664,11664,1024,1024,1024,11664,11664,11664,11664,1024,1024,1024
-1241,1,-1184,1,0,-1241,6980,7006,6980,7006,618,592,566,7006,6980,7006,6980,618,592,566
-1241,1,-1184,1,-1+1w,-1240,7006,6980,7006,6980,566,592,618,6980,7006,6980,7006,566,592,618
-1242,1,-1584,1,0,-1242,10084,10084,10084,10084,792,792,792,10084,10084,10084,10084,792,792,792
-1243,1,-2240,1,0,-1243,10864,10874,10864,10874,1130,1120,1110,10874,10864,10874,10864,1130,1120,1110
-1243,1,-2240,1,-1+1w,-1242,10874,10864,10874,10864,1110,1120,1130,10864,10874,10864,10874,1110,1120,1130
-1244,1,-1240,1,0,-1244,7782,7782,7782,7782,620,620,620,7782,7782,7782,7782,620,620,620
-1245,1,-1312,1,0,-1245,7272,7308,7272,7308,692,656,620,7308,7272,7308,7272,692,656,620
-1245,1,-1312,1,-1+1w,-1244,7308,7272,7308,7272,620,656,692,7272,7308,7272,7308,620,656,692
-1245,3,-328,3,-2+1w,-414,1260,1262,1260,1262,166,164,162,1262,1260,1262,1260,166,164,162
-1245,3,-328,3,-1+2w,-414,1262,1260,1262,1260,162,164,166,1260,1262,1260,1262,162,164,166
-1246,1,-2816,1,0,-1246,14640,14640,14640,14640,1408,1408,1408,14640,14640,14640,14640,1408,1408,1408
-1247,1,-1232,1,0,-1247,7090,7088,7090,7088,614,616,618,7088,7090,7088,7090,614,616,618
-1247,1,-1232,1,-1+1w,-1246,7088,7090,7088,7090,618,616,614,7090,7088,7090,7088,618,616,614
-1248,1,-1792,1,0,-1248,10274,10274,10274,10274,896,896,896,10274,10274,10274,10274,896,896,896
-1250,1,-1000,1,0,-1250,7278,7278,7278,7278,500,500,500,7278,7278,7278,7278,500,500,500
-1253,1,-1424,1,0,-1253,7642,7658,7642,7658,728,712,696,7658,7642,7658,7642,728,712,696
-1253,1,-1424,1,-1+1w,-1252,7658,7642,7658,7642,696,712,728,7642,7658,7642,7658,696,712,728
-1254,1,-1600,1,0,-1254,9708,9708,9708,9708,800,800,800,9708,9708,9708,9708,800,800,800
-1254,3,-400,3,-2+1w,-417,1756,1756,1756,1756,200,200,200,1756,1756,1756,1756,200,200,200
-1255,1,-2000,1,0,-1255,10164,10176,10164,10176,1012,1000,988,10176,10164,10176,10164,1012,1000,988
-1255,1,-2000,1,-1+1w,-1254,10176,10164,10176,10164,988,1000,1012,10164,10176,10164,10176,988,1000,1012
-1256,1,-1264,1,0,-1256,8184,8184,8184,8184,632,632,632,8184,8184,8184,8184,632,632,632
-1257,1,-1672,1,0,-1257,8862,8878,8862,8878,852,836,820,8878,8862,8878,8862,852,836,820
-1257,1,-1672,1,-1+1w,-1256,8878,8862,8878,8862,820,836,852,8862,8878,8862,8878,820,836,852
-1258,1,-2432,1,0,-1258,13728,13728,13728,13728,1216,1216,1216,13728,13728,13728,13728,1216,1216,1216
-1259,1,-1258,1,0,-1259,7183,7196,7183,7196,642,629,616,7196,7183,7196,7183,642,629,616
-1259,1,-1258,1,-1+1w,-1258,7196,7183,7196,7183,616,629,642,7183,7196,7183,7196,616,629,642
-1260,1,-1536,1,0,-1260,9116,9116,9116,9116,768,768,768,9116,9116,9116,9116,768,768,768
-1262,1,-1264,1,0,-1262,8580,8580,8580,8580,632,632,632,8580,8580,8580,8580,632,632,632
-1265,1,-880,1,0,-1265,6146,6148,6146,6148,442,440,438,6148,6146,6148,6146,442,440,438
-1265,1,-880,1,-1+1w,-1264,6148,6146,6148,6146,438,440,442,6146,6148,6146,6148,438,440,442
-1266,1,-1696,1,0,-1266,10772,10772,10772,10772,848,848,848,10772,10772,10772,10772,848,848,848
-1268,1,-1264,1,0,-1268,7944,7944,7944,7944,632,632,632,7944,7944,7944,7944,632,632,632
-1269,1,-1656,1,0,-1269,8666,8670,8666,8670,832,828,824,8670,8666,8670,8666,832,828,824
-1269,1,-1656,1,-1+1w,-1268,8670,8666,8670,8666,824,828,832,8666,8670,8666,8670,824,828,832
-1270,1,-2048,1,0,-1270,12516,12516,12516,12516,1024,1024,1024,12516,12516,12516,12516,1024,1024,1024
-1271,1,-1280,1,0,-1271,7318,7298,7318,7298,620,640,660,7298,7318,7298,7318,620,640,660
-1271,1,-1280,1,-1+1w,-1270,7298,7318,7298,7318,660,640,620,7318,7298,7318,7298,660,640,620
-1272,1,-1664,1,0,-1272,9648,9648,9648,9648,832,832,832,9648,9648,9648,9648,832,832,832
-1272,3,-416,3,-2+1w,-423,1694,1694,1694,1694,208,208,208,1694,1694,1694,1694,208,208,208
-1274,1,-1568,1,0,-1274,9564,9564,9564,9564,784,784,784,9564,9564,9564,9564,784,784,784
-1275,1,-1280,1,0,-1275,7816,7798,7816,7798,622,640,658,7798,7816,7798,7816,622,640,658
-1275,1,-1280,1,-1+1w,-1274,7798,7816,7798,7816,658,640,622,7816,7798,7816,7798,658,640,622
-1276,1,-2240,1,0,-1276,12456,12456,12456,12456,1120,1120,1120,12456,12456,12456,12456,1120,1120,1120
-1277,1,-1276,1,0,-1277,7333,7334,7333,7334,639,638,637,7334,7333,7334,7333,639,638,637
-1277,1,-1276,1,-1+1w,-1276,7334,7333,7334,7333,637,638,639,7333,7334,7333,7334,637,638,639
-1278,1,-1680,1,0,-1278,10396,10396,10396,10396,840,840,840,10396,10396,10396,10396,840,840,840
-1280,1,-1024,1,0,-1280,7260,7260,7260,7260,512,512,512,7260,7260,7260,7260,512,512,512
-1282,1,-2560,1,0,-1282,14220,14220,14220,14220,1280,1280,1280,14220,14220,14220,14220,1280,1280,1280
-1283,1,-1282,1,0,-1283,7383,7362,7383,7362,620,641,662,7362,7383,7362,7383,620,641,662
-1283,1,-1282,1,-1+1w,-1282,7362,7383,7362,7383,662,641,620,7383,7362,7383,7362,662,641,620
-1284,1,-1696,1,0,-1284,10028,10028,10028,10028,848,848,848,10028,10028,10028,10028,848,848,848
-1285,1,-2048,1,0,-1285,10494,10482,10494,10482,1012,1024,1036,10482,10494,10482,10494,1012,1024,1036
-1285,1,-2048,1,-1+1w,-1284,10482,10494,10482,10494,1036,1024,1012,10494,10482,10494,10482,1036,1024,1012
-1286,1,-1288,1,0,-1286,8784,8784,8784,8784,644,644,644,8784,8784,8784,8784,644,644,644
-1287,1,-1680,1,0,-1287,8832,8818,8832,8818,826,840,854,8818,8832,8818,8832,826,840,854
-1287,1,-1680,1,-1+1w,-1286,8818,8832,8818,8832,854,840,826,8832,8818,8832,8818,854,840,826
-1288,1,-2816,1,0,-1288,14352,14352,14352,14352,1408,1408,1408,14352,14352,14352,14352,1408,1408,1408
-1289,1,-1288,1,0,-1289,7401,7416,7401,7416,659,644,629,7416,7401,7416,7401,659,644,629
-1289,1,-1288,1,-1+1w,-1288,7416,7401,7416,7401,629,644,659,7401,7416,7401,7416,629,644,659
-1290,1,-1408,1,0,-1290,9060,9060,9060,9060,704,704,704,9060,9060,9060,9060,704,704,704
-1290,3,-352,3,-2+1w,-429,1684,1684,1684,1684,176,176,176,1684,1684,1684,1684,176,176,176
-1292,1,-1280,1,0,-1292,8088,8088,8088,8088,640,640,640,8088,8088,8088,8088,640,640,640
-1293,1,-1720,1,0,-1293,9202,9174,9202,9174,832,860,888,9174,9202,9174,9202,832,860,888
-1293,1,-1720,1,-1+1w,-1292,9174,9202,9174,9202,888,860,832,9202,9174,9202,9174,888,860,832
-1294,1,-2584,1,0,-1294,14346,14346,14346,14346,1292,1292,1292,14346,14346,14346,14346,1292,1292,1292
-1295,1,-1216,1,0,-1295,7120,7088,7120,7088,576,608,640,7088,7120,7088,7120,576,608,640
-1295,1,-1216,1,-1+1w,-1294,7088,7120,7088,7120,640,608,576,7120,7088,7120,7088,640,608,576
-1298,1,-1160,1,0,-1298,8466,8466,8466,8466,580,580,580,8466,8466,8466,8466,580,580,580
-1301,1,-1300,1,0,-1301,7507,7496,7507,7496,639,650,661,7496,7507,7496,7507,639,650,661
-1301,1,-1300,1,-1+1w,-1300,7496,7507,7496,7507,661,650,639,7507,7496,7507,7496,661,650,639
-1302,1,-2048,1,0,-1302,11968,11968,11968,11968,1024,1024,1024,11968,11968,11968,11968,1024,1024,1024
-1304,1,-1312,1,0,-1304,8550,8550,8550,8550,656,656,656,8550,8550,8550,8550,656,656,656
-1305,1,-1344,1,0,-1305,7878,7888,7878,7888,682,672,662,7888,7878,7888,7878,682,672,662
-1305,1,-1344,1,-1+1w,-1304,7888,7878,7888,7878,662,672,682,7878,7888,7878,7888,662,672,682
-1306,1,-2608,1,0,-1306,14508,14508,14508,14508,1304,1304,1304,14508,14508,14508,14508,1304,1304,1304
-1307,1,-1306,1,0,-1307,7529,7516,7529,7516,640,653,666,7516,7529,7516,7529,640,653,666
-1307,1,-1306,1,-1+1w,-1306,7516,7529,7516,7529,666,653,640,7529,7516,7529,7516,666,653,640
-1309,1,-2560,1,0,-1309,12094,12092,12094,12092,1278,1280,1282,12092,12094,12092,12094,1278,1280,1282
-1309,1,-2560,1,-1+1w,-1308,12092,12094,12092,12094,1282,1280,1278,12094,12092,12094,12092,1282,1280,1278
-1310,1,-1040,1,0,-1310,7800,7800,7800,7800,520,520,520,7800,7800,7800,7800,520,520,520
-1311,1,-1760,1,0,-1311,9356,9354,9356,9354,878,880,882,9354,9356,9354,9356,878,880,882
-1311,1,-1760,1,-1+1w,-1310,9354,9356,9354,9356,882,880,878,9356,9354,9356,9354,882,880,878
-1312,1,-2560,1,0,-1312,13674,13674,13674,13674,1280,1280,1280,13674,13674,13674,13674,1280,1280,1280
-1313,1,-1400,1,0,-1313,7746,7746,7746,7746,700,700,700,7746,7746,7746,7746,700,700,700
-1313,1,-1400,1,-1+1w,-1312,7746,7746,7746,7746,700,700,700,7746,7746,7746,7746,700,700,700
-1314,1,-1776,1,0,-1314,10972,10972,10972,10972,888,888,888,10972,10972,10972,10972,888,888,888
-1315,1,-2096,1,0,-1315,10738,10736,10738,10736,1046,1048,1050,10736,10738,10736,10738,1046,1048,1050
-1315,1,-2096,1,-1+1w,-1314,10736,10738,10736,10738,1050,1048,1046,10738,10736,10738,10736,1050,1048,1046
-1316,1,-1472,1,0,-1316,8892,8892,8892,8892,736,736,736,8892,8892,8892,8892,736,736,736
-1318,1,-2632,1,0,-1318,14628,14628,14628,14628,1316,1316,1316,14628,14628,14628,14628,1316,1316,1316
-1319,1,-1318,1,0,-1319,7573,7586,7573,7586,672,659,646,7586,7573,7586,7573,672,659,646
-1319,1,-1318,1,-1+1w,-1318,7586,7573,7586,7573,646,659,672,7573,7586,7573,7586,646,659,672
-1320,1,-1280,1,0,-1320,9154,9154,9154,9154,640,640,640,9154,9154,9154,9154,640,640,640
-1322,1,-1324,1,0,-1322,9018,9018,9018,9018,662,662,662,9018,9018,9018,9018,662,662,662
-1325,1,-1040,1,0,-1325,6638,6640,6638,6640,522,520,518,6640,6638,6640,6638,522,520,518
-1325,1,-1040,1,-1+1w,-1324,6640,6638,6640,6638,518,520,522,6638,6640,6638,6640,518,520,522
-1326,1,-1792,1,0,-1326,10704,10704,10704,10704,896,896,896,10704,10704,10704,10704,896,896,896
-1326,3,-448,3,-2+1w,-441,1912,1912,1912,1912,224,224,224,1912,1912,1912,1912,224,224,224
-1328,1,-1312,1,0,-1328,8556,8556,8556,8556,656,656,656,8556,8556,8556,8556,656,656,656
-1329,1,-1768,1,0,-1329,9466,9486,9466,9486,904,884,864,9486,9466,9486,9466,904,884,864
-1329,1,-1768,1,-1+1w,-1328,9486,9466,9486,9466,864,884,904,9466,9486,9466,9486,864,884,904
-1330,1,-2560,1,0,-1330,14268,14268,14268,14268,1280,1280,1280,14268,14268,14268,14268,1280,1280,1280
-1331,1,-1210,1,0,-1331,7407,7398,7407,7398,596,605,614,7398,7407,7398,7407,596,605,614
-1331,1,-1210,1,-1+1w,-1330,7398,7407,7398,7407,614,605,596,7407,7398,7407,7398,614,605,596
-1334,1,-1232,1,0,-1334,8964,8964,8964,8964,616,616,616,8964,8964,8964,8964,616,616,616
-1335,1,-1408,1,0,-1335,7920,7896,7920,7896,680,704,728,7896,7920,7896,7920,680,704,728
-1335,1,-1408,1,-1+1w,-1334,7896,7920,7896,7920,728,704,680,7920,7896,7920,7896,728,704,680
-1335,3,-352,3,-2+1w,-444,1376,1368,1376,1368,168,176,184,1368,1376,1368,1376,168,176,184
-1335,3,-352,3,-1+2w,-444,1368,1376,1368,1376,184,176,168,1376,1368,1376,1368,184,176,168
-1336,1,-2656,1,0,-1336,14184,14184,14184,14184,1328,1328,1328,14184,14184,14184,14184,1328,1328,1328
-1337,1,-1520,1,0,-1337,8254,8258,8254,8258,764,760,756,8258,8254,8258,8254,764,760,756
-1337,1,-1520,1,-1+1w,-1336,8258,8254,8258,8254,756,760,764,8254,8258,8254,8258,756,760,764
-1338,1,-1792,1,0,-1338,11456,11456,11456,11456,896,896,896,11456,11456,11456,11456,896,896,896
-1340,1,-1088,1,0,-1340,7452,7452,7452,7452,544,544,544,7452,7452,7452,7452,544,544,544
-1341,1,-1776,1,0,-1341,9340,9316,9340,9316,864,888,912,9316,9340,9316,9340,864,888,912
-1341,1,-1776,1,-1+1w,-1340,9316,9340,9316,9340,912,888,864,9340,9316,9340,9316,912,888,864
-1342,1,-2480,1,0,-1342,14508,14508,14508,14508,1240,1240,1240,14508,14508,14508,14508,1240,1240,1240
-1343,1,-1280,1,0,-1343,7654,7652,7654,7652,638,640,642,7652,7654,7652,7654,638,640,642
-1343,1,-1280,1,-1+1w,-1342,7652,7654,7652,7654,642,640,638,7654,7652,7654,7652,642,640,638
-1345,1,-2144,1,0,-1345,11034,11046,11034,11046,1084,1072,1060,11046,11034,11046,11034,1084,1072,1060
-1345,1,-2144,1,-1+1w,-1344,11046,11034,11046,11034,1060,1072,1084,11034,11046,11034,11046,1060,1072,1084
