Determinant,MinA,Euler,A,B,C,0:00,0:01,0:02,0:03,0:01/23,0:02/13,0:03/12,1:00,1:01,1:02,1:03,1:01/23,1:02/13,1:03/12
-347,1,-346,1,0,-347,1647,1638,1647,1638,164,173,182,1638,1647,1638,1647,164,173,182
-347,1,-346,1,-1+1w,-346,1638,1647,1638,1647,182,173,164,1647,1638,1647,1638,182,173,164
-348,1,-448,1,0,-348,2252,2252,2252,2252,224,224,224,2252,2252,2252,2252,224,224,224
-350,1,-320,1,0,-350,1896,1896,1896,1896,160,160,160,1896,1896,1896,1896,160,160,160
-352,1,-640,1,0,-352,2910,2910,2910,2910,320,320,320,2910,2910,2910,2910,320,320,320
-353,1,-352,1,0,-353,1687,1670,1687,1670,159,176,193,1670,1687,1670,1687,159,176,193
-353,1,-352,1,-1+1w,-352,1670,1687,1670,1687,193,176,159,1687,1670,1687,1670,193,176,159
-354,1,-464,1,0,-354,2340,2340,2340,2340,232,232,232,2340,2340,2340,2340,232,232,232
-354,3,-116,3,-2+1w,-117,386,386,386,386,58,58,58,386,386,386,386,58,58,58
-355,1,-560,1,0,-355,2336,2320,2336,2320,264,280,296,2320,2336,2320,2336,264,280,296
-355,1,-560,1,-1+1w,-354,2320,2336,2320,2336,296,280,264,2336,2320,2336,2320,296,280,264
-356,1,-352,1,0,-356,1884,1884,1884,1884,176,176,176,1884,1884,1884,1884,176,176,176
-357,1,-512,1,0,-357,2146,2140,2146,2140,250,256,262,2140,2146,2140,2146,250,256,262
-357,1,-512,1,-1+1w,-356,2140,2146,2140,2146,262,256,250,2146,2140,2146,2140,262,256,250
-358,1,-712,1,0,-358,3240,3240,3240,3240,356,356,356,3240,3240,3240,3240,356,356,356
-359,1,-358,1,0,-359,1699,1700,1699,1700,180,179,178,1700,1699,1700,1699,180,179,178
-359,1,-358,1,-1+1w,-358,1700,1699,1700,1699,178,179,180,1699,1700,1699,1700,178,179,180
-360,1,-384,1,0,-360,2086,2086,2086,2086,192,192,192,2086,2086,2086,2086,192,192,192
-362,1,-364,1,0,-362,2094,2094,2094,2094,182,182,182,2094,2094,2094,2094,182,182,182
-365,1,-296,1,0,-365,1574,1582,1574,1582,156,148,140,1582,1574,1582,1574,156,148,140
-365,1,-296,1,-1+1w,-364,1582,1574,1582,1574,140,148,156,1574,1582,1574,1582,140,148,156
-366,1,-496,1,0,-366,2648,2648,2648,2648,248,248,248,2648,2648,2648,2648,248,248,248
-368,1,-352,1,0,-368,2004,2004,2004,2004,176,176,176,2004,2004,2004,2004,176,176,176
-369,1,-480,1,0,-369,2068,2080,2068,2080,252,240,228,2080,2068,2080,2068,252,240,228
-369,1,-480,1,-1+1w,-368,2080,2068,2080,2068,228,240,252,2068,2080,2068,2080,228,240,252
-370,1,-608,1,0,-370,3084,3084,3084,3084,304,304,304,3084,3084,3084,3084,304,304,304
-371,1,-416,1,0,-371,1870,1874,1870,1874,212,208,204,1874,1870,1874,1870,212,208,204
-371,1,-416,1,-1+1w,-370,1874,1870,1874,1870,204,208,212,1870,1874,1870,1874,204,208,212
-374,1,-320,1,0,-374,2112,2112,2112,2112,160,160,160,2112,2112,2112,2112,160,160,160
-375,1,-400,1,0,-375,1950,1966,1950,1966,216,200,184,1966,1950,1966,1950,216,200,184
-375,1,-400,1,-1+1w,-374,1966,1950,1966,1950,184,200,216,1950,1966,1950,1966,184,200,216
-376,1,-736,1,0,-376,3264,3264,3264,3264,368,368,368,3264,3264,3264,3264,368,368,368
-377,1,-392,1,0,-377,1828,1832,1828,1832,200,196,192,1832,1828,1832,1828,200,196,192
-377,1,-392,1,-1+1w,-376,1832,1828,1832,1828,192,196,200,1828,1832,1828,1832,192,196,200
-378,1,-576,1,0,-378,2800,2800,2800,2800,288,288,288,2800,2800,2800,2800,288,288,288
-380,1,-320,1,0,-380,1824,1824,1824,1824,160,160,160,1824,1824,1824,1824,160,160,160
-382,1,-760,1,0,-382,3522,3522,3522,3522,380,380,380,3522,3522,3522,3522,380,380,380
-383,1,-382,1,0,-383,1843,1838,1843,1838,186,191,196,1838,1843,1838,1843,186,191,196
-383,1,-382,1,-1+1w,-382,1838,1843,1838,1843,196,191,186,1843,1838,1843,1838,196,191,186
-384,1,-512,1,0,-384,2608,2608,2608,2608,256,256,256,2608,2608,2608,2608,256,256,256
-385,1,-640,1,0,-385,2630,2632,2630,2632,322,320,318,2632,2630,2632,2630,322,320,318
-385,1,-640,1,-1+1w,-384,2632,2630,2632,2630,318,320,322,2630,2632,2630,2632,318,320,322
-386,1,-388,1,0,-386,2274,2274,2274,2274,194,194,194,2274,2274,2274,2274,194,194,194
